pin,slack
FUNCTIONAL_OUTPUTS/blink_counter[5]:D,17342
FUNCTIONAL_OUTPUTS/blink_counter[5]:EN,18165
FUNCTIONAL_OUTPUTS/blink_counter[5]:Q,17325
FUNCTIONAL_OUTPUTS/led_pattern[7]:ALn,
FUNCTIONAL_OUTPUTS/led_pattern[7]:CLK,2049
FUNCTIONAL_OUTPUTS/led_pattern[7]:D,17677
FUNCTIONAL_OUTPUTS/led_pattern[7]:Q,2049
FUNCTIONAL_OUTPUTS/led_pattern[1]:ALn,
FUNCTIONAL_OUTPUTS/led_pattern[1]:CLK,2049
FUNCTIONAL_OUTPUTS/led_pattern[1]:D,17677
FUNCTIONAL_OUTPUTS/led_pattern[1]:Q,2049
FUNCTIONAL_OUTPUTS/blink_counter[21]:ALn,
FUNCTIONAL_OUTPUTS/blink_counter[21]:CLK,17491
FUNCTIONAL_OUTPUTS/blink_counter[21]:D,17275
FUNCTIONAL_OUTPUTS/blink_counter[21]:EN,18165
FUNCTIONAL_OUTPUTS/blink_counter[21]:Q,17491
FAULT_LEDS_obuf[1]/U_IOPAD:D,
FAULT_LEDS_obuf[1]/U_IOPAD:E,
FAULT_LEDS_obuf[1]/U_IOPAD:PAD,
FUNCTIONAL_OUTPUTS/blink_counter_cry[11]:B,17395
FUNCTIONAL_OUTPUTS/blink_counter_cry[11]:CC,17294
FUNCTIONAL_OUTPUTS/blink_counter_cry[11]:P,17395
FUNCTIONAL_OUTPUTS/blink_counter_cry[11]:S,17294
FUNCTIONAL_OUTPUTS/blink_counter_cry[11]:Y3,
FUNCTIONAL_OUTPUTS/blink_counter_cry[11]:Y3A,
FUNCTIONAL_OUTPUTS/counter_cry[12]:B,16953
FUNCTIONAL_OUTPUTS/counter_cry[12]:C,17205
FUNCTIONAL_OUTPUTS/counter_cry[12]:CC,16987
FUNCTIONAL_OUTPUTS/counter_cry[12]:P,16953
FUNCTIONAL_OUTPUTS/counter_cry[12]:S,16987
FUNCTIONAL_OUTPUTS/counter_cry[12]:Y3,
FUNCTIONAL_OUTPUTS/counter_cry[12]:Y3A,
LED_PATTERN_obuf[3]/U_IOTRI:D,2049
LED_PATTERN_obuf[3]/U_IOTRI:DOUT,2049
LED_PATTERN_obuf[3]/U_IOTRI:EOUT,
FUNCTIONAL_OUTPUTS/blink_counter[9]:ALn,
FUNCTIONAL_OUTPUTS/blink_counter[9]:CLK,17370
FUNCTIONAL_OUTPUTS/blink_counter[9]:D,17377
FUNCTIONAL_OUTPUTS/blink_counter[9]:EN,18165
FUNCTIONAL_OUTPUTS/blink_counter[9]:Q,17370
LED_PATTERN_obuf[6]/U_IOPAD:D,2049
LED_PATTERN_obuf[6]/U_IOPAD:E,
LED_PATTERN_obuf[6]/U_IOPAD:PAD,2049
FUNCTIONAL_OUTPUTS/counter[26]:ALn,
FUNCTIONAL_OUTPUTS/counter[26]:CLK,16870
FUNCTIONAL_OUTPUTS/counter[26]:D,16902
FUNCTIONAL_OUTPUTS/counter[26]:Q,16870
FUNCTIONAL_OUTPUTS/blink_counter[20]:ALn,
FUNCTIONAL_OUTPUTS/blink_counter[20]:CLK,17427
FUNCTIONAL_OUTPUTS/blink_counter[20]:D,17218
FUNCTIONAL_OUTPUTS/blink_counter[20]:EN,18165
FUNCTIONAL_OUTPUTS/blink_counter[20]:Q,17427
FUNCTIONAL_OUTPUTS/blink_counter[11]:ALn,
FUNCTIONAL_OUTPUTS/blink_counter[11]:CLK,17395
FUNCTIONAL_OUTPUTS/blink_counter[11]:D,17294
FUNCTIONAL_OUTPUTS/blink_counter[11]:EN,18165
FUNCTIONAL_OUTPUTS/blink_counter[11]:Q,17395
FUNCTIONAL_OUTPUTS/led_pattern_2_7_0_.m13:A,17824
FUNCTIONAL_OUTPUTS/led_pattern_2_7_0_.m13:B,17783
FUNCTIONAL_OUTPUTS/led_pattern_2_7_0_.m13:C,17721
FUNCTIONAL_OUTPUTS/led_pattern_2_7_0_.m13:D,17630
FUNCTIONAL_OUTPUTS/led_pattern_2_7_0_.m13:Y,17630
FUNCTIONAL_OUTPUTS/pattern_select_0_sqmuxa:A,17407
FUNCTIONAL_OUTPUTS/pattern_select_0_sqmuxa:B,16731
FUNCTIONAL_OUTPUTS/pattern_select_0_sqmuxa:C,16665
FUNCTIONAL_OUTPUTS/pattern_select_0_sqmuxa:Y,16665
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_1:CC[0],17351
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_1:CC[10],17221
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_1:CC[11],17191
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_1:CC[1],17305
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_1:CC[2],17271
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_1:CC[3],17324
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_1:CC[4],17273
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_1:CC[5],17244
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_1:CC[6],17300
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_1:CC[7],17251
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_1:CC[8],17218
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_1:CC[9],17275
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_1:CI,17191
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_1:CO,17201
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_1:P[0],17344
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_1:P[10],17460
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_1:P[11],17509
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_1:P[1],17294
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_1:P[2],17362
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_1:P[3],17423
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_1:P[4],17372
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_1:P[5],17428
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_1:P[6],17395
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_1:P[7],17363
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_1:P[8],17427
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_1:P[9],17491
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_1:Y3A[0],
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_1:Y3A[10],
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_1:Y3A[11],
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_1:Y3A[1],
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_1:Y3A[2],
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_1:Y3A[3],
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_1:Y3A[4],
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_1:Y3A[5],
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_1:Y3A[6],
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_1:Y3A[7],
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_1:Y3A[8],
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_1:Y3A[9],
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_1:Y3[0],
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_1:Y3[10],
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_1:Y3[11],
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_1:Y3[1],
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_1:Y3[2],
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_1:Y3[3],
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_1:Y3[4],
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_1:Y3[5],
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_1:Y3[6],
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_1:Y3[7],
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_1:Y3[8],
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_1:Y3[9],
FUNCTIONAL_OUTPUTS/blink_counter_cry[15]:B,17423
FUNCTIONAL_OUTPUTS/blink_counter_cry[15]:CC,17324
FUNCTIONAL_OUTPUTS/blink_counter_cry[15]:P,17423
FUNCTIONAL_OUTPUTS/blink_counter_cry[15]:S,17324
FUNCTIONAL_OUTPUTS/blink_counter_cry[15]:Y3,
FUNCTIONAL_OUTPUTS/blink_counter_cry[15]:Y3A,
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_0:CC[0],
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_0:CC[10],17324
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_0:CC[11],17294
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_0:CC[1],17621
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_0:CC[2],17589
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_0:CC[3],17421
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_0:CC[4],17370
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_0:CC[5],17342
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_0:CC[6],17401
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_0:CC[7],17355
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_0:CC[8],17320
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_0:CC[9],17377
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_0:CO,17191
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_0:P[0],17235
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_0:P[10],17339
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_0:P[11],17395
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_0:P[1],17191
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_0:P[2],17259
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_0:P[3],17319
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_0:P[4],17268
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_0:P[5],17325
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_0:P[6],17307
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_0:P[7],17275
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_0:P[8],17339
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_0:P[9],17370
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_0:Y3A[0],
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_0:Y3A[10],
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_0:Y3A[11],
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_0:Y3A[1],
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_0:Y3A[2],
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_0:Y3A[3],
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_0:Y3A[4],
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_0:Y3A[5],
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_0:Y3A[6],
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_0:Y3A[7],
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_0:Y3A[8],
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_0:Y3A[9],
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_0:Y3[0],
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_0:Y3[10],
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_0:Y3[11],
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_0:Y3[1],
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_0:Y3[2],
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_0:Y3[3],
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_0:Y3[4],
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_0:Y3[5],
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_0:Y3[6],
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_0:Y3[7],
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_0:Y3[8],
FUNCTIONAL_OUTPUTS/blink_counter_s_1_CC_0:Y3[9],
FUNCTIONAL_OUTPUTS/counter_cry[4]:B,16998
FUNCTIONAL_OUTPUTS/counter_cry[4]:C,17250
FUNCTIONAL_OUTPUTS/counter_cry[4]:CC,17024
FUNCTIONAL_OUTPUTS/counter_cry[4]:P,16998
FUNCTIONAL_OUTPUTS/counter_cry[4]:S,17024
FUNCTIONAL_OUTPUTS/counter_cry[4]:Y3,
FUNCTIONAL_OUTPUTS/counter_cry[4]:Y3A,
FUNCTIONAL_OUTPUTS/blink_counter[10]:ALn,
FUNCTIONAL_OUTPUTS/blink_counter[10]:CLK,17339
FUNCTIONAL_OUTPUTS/blink_counter[10]:D,17324
FUNCTIONAL_OUTPUTS/blink_counter[10]:EN,18165
FUNCTIONAL_OUTPUTS/blink_counter[10]:Q,17339
FUNCTIONAL_OUTPUTS/counter[21]:ALn,
FUNCTIONAL_OUTPUTS/counter[21]:CLK,17361
FUNCTIONAL_OUTPUTS/counter[21]:D,16903
FUNCTIONAL_OUTPUTS/counter[21]:Q,17361
CLK_IN_ibuf/U_IOPAD:PAD,
CLK_IN_ibuf/U_IOPAD:Y,
FUNCTIONAL_OUTPUTS/blink_counter_cry[4]:B,17268
FUNCTIONAL_OUTPUTS/blink_counter_cry[4]:CC,17370
FUNCTIONAL_OUTPUTS/blink_counter_cry[4]:P,17268
FUNCTIONAL_OUTPUTS/blink_counter_cry[4]:S,17370
FUNCTIONAL_OUTPUTS/blink_counter_cry[4]:Y3,
FUNCTIONAL_OUTPUTS/blink_counter_cry[4]:Y3A,
LED_PATTERN_obuf[2]/U_IOPAD:D,2049
LED_PATTERN_obuf[2]/U_IOPAD:E,
LED_PATTERN_obuf[2]/U_IOPAD:PAD,2049
FUNCTIONAL_OUTPUTS/counter_cry[11]:B,17016
FUNCTIONAL_OUTPUTS/counter_cry[11]:C,17268
FUNCTIONAL_OUTPUTS/counter_cry[11]:CC,17033
FUNCTIONAL_OUTPUTS/counter_cry[11]:P,17016
FUNCTIONAL_OUTPUTS/counter_cry[11]:S,17033
FUNCTIONAL_OUTPUTS/counter_cry[11]:Y3,
FUNCTIONAL_OUTPUTS/counter_cry[11]:Y3A,
FUNCTIONAL_OUTPUTS/led_pattern[2]:ALn,
FUNCTIONAL_OUTPUTS/led_pattern[2]:CLK,2049
FUNCTIONAL_OUTPUTS/led_pattern[2]:D,17630
FUNCTIONAL_OUTPUTS/led_pattern[2]:Q,2049
FUNCTIONAL_OUTPUTS/counter[0]:ALn,
FUNCTIONAL_OUTPUTS/counter[0]:CLK,17101
FUNCTIONAL_OUTPUTS/counter[0]:D,17309
FUNCTIONAL_OUTPUTS/counter[0]:Q,17101
FUNCTIONAL_OUTPUTS/blink_counter[3]:ALn,
FUNCTIONAL_OUTPUTS/blink_counter[3]:CLK,17319
FUNCTIONAL_OUTPUTS/blink_counter[3]:D,17421
FUNCTIONAL_OUTPUTS/blink_counter[3]:EN,18165
FUNCTIONAL_OUTPUTS/blink_counter[3]:Q,17319
FUNCTIONAL_OUTPUTS/blink_counter[23]:ALn,
FUNCTIONAL_OUTPUTS/blink_counter[23]:CLK,17509
FUNCTIONAL_OUTPUTS/blink_counter[23]:D,17191
FUNCTIONAL_OUTPUTS/blink_counter[23]:EN,18165
FUNCTIONAL_OUTPUTS/blink_counter[23]:Q,17509
RST_N_IN_ibuf/U_IOIN:Y,
RST_N_IN_ibuf/U_IOIN:YIN,
FUNCTIONAL_OUTPUTS/blink_counter[18]:ALn,
FUNCTIONAL_OUTPUTS/blink_counter[18]:CLK,17395
FUNCTIONAL_OUTPUTS/blink_counter[18]:D,17300
FUNCTIONAL_OUTPUTS/blink_counter[18]:EN,18165
FUNCTIONAL_OUTPUTS/blink_counter[18]:Q,17395
LED_PATTERN_obuf[1]/U_IOTRI:D,2049
LED_PATTERN_obuf[1]/U_IOTRI:DOUT,2049
LED_PATTERN_obuf[1]/U_IOTRI:EOUT,
FUNCTIONAL_OUTPUTS/blink_counter_cry[23]:B,17509
FUNCTIONAL_OUTPUTS/blink_counter_cry[23]:CC,17191
FUNCTIONAL_OUTPUTS/blink_counter_cry[23]:P,17509
FUNCTIONAL_OUTPUTS/blink_counter_cry[23]:S,17191
FUNCTIONAL_OUTPUTS/blink_counter_cry[23]:Y3,
FUNCTIONAL_OUTPUTS/blink_counter_cry[23]:Y3A,
RST_N_IN_ibuf/U_IOPAD:PAD,
RST_N_IN_ibuf/U_IOPAD:Y,
FUNCTIONAL_OUTPUTS/blink_counter_cry[24]:B,17627
FUNCTIONAL_OUTPUTS/blink_counter_cry[24]:CC,17247
FUNCTIONAL_OUTPUTS/blink_counter_cry[24]:P,17627
FUNCTIONAL_OUTPUTS/blink_counter_cry[24]:S,17247
FUNCTIONAL_OUTPUTS/blink_counter_cry[24]:Y3,
FUNCTIONAL_OUTPUTS/blink_counter_cry[24]:Y3A,
FUNCTIONAL_OUTPUTS/counter_cry[13]:B,17036
FUNCTIONAL_OUTPUTS/counter_cry[13]:C,17288
FUNCTIONAL_OUTPUTS/counter_cry[13]:CC,16953
FUNCTIONAL_OUTPUTS/counter_cry[13]:P,17036
FUNCTIONAL_OUTPUTS/counter_cry[13]:S,16953
FUNCTIONAL_OUTPUTS/counter_cry[13]:Y3,
FUNCTIONAL_OUTPUTS/counter_cry[13]:Y3A,
FUNCTIONAL_OUTPUTS/counter_cry[3]:B,16922
FUNCTIONAL_OUTPUTS/counter_cry[3]:C,17174
FUNCTIONAL_OUTPUTS/counter_cry[3]:CC,17052
FUNCTIONAL_OUTPUTS/counter_cry[3]:P,16922
FUNCTIONAL_OUTPUTS/counter_cry[3]:S,17052
FUNCTIONAL_OUTPUTS/counter_cry[3]:Y3,
FUNCTIONAL_OUTPUTS/counter_cry[3]:Y3A,
FUNCTIONAL_OUTPUTS/counter_cry[24]:B,17052
FUNCTIONAL_OUTPUTS/counter_cry[24]:C,17293
FUNCTIONAL_OUTPUTS/counter_cry[24]:CC,16883
FUNCTIONAL_OUTPUTS/counter_cry[24]:P,17052
FUNCTIONAL_OUTPUTS/counter_cry[24]:S,16883
FUNCTIONAL_OUTPUTS/counter_cry[24]:Y3,
FUNCTIONAL_OUTPUTS/counter_cry[24]:Y3A,
FUNCTIONAL_OUTPUTS/counter_cry[1]:B,16932
FUNCTIONAL_OUTPUTS/counter_cry[1]:C,17184
FUNCTIONAL_OUTPUTS/counter_cry[1]:CC,17277
FUNCTIONAL_OUTPUTS/counter_cry[1]:P,16932
FUNCTIONAL_OUTPUTS/counter_cry[1]:S,17277
FUNCTIONAL_OUTPUTS/counter_cry[1]:Y3,
FUNCTIONAL_OUTPUTS/counter_cry[1]:Y3A,
FUNCTIONAL_OUTPUTS/pattern_select[1]:ALn,
FUNCTIONAL_OUTPUTS/pattern_select[1]:CLK,16665
FUNCTIONAL_OUTPUTS/pattern_select[1]:D,18600
FUNCTIONAL_OUTPUTS/pattern_select[1]:EN,16665
FUNCTIONAL_OUTPUTS/pattern_select[1]:Q,16665
FUNCTIONAL_OUTPUTS/blink_counter_cry[20]:B,17427
FUNCTIONAL_OUTPUTS/blink_counter_cry[20]:CC,17218
FUNCTIONAL_OUTPUTS/blink_counter_cry[20]:P,17427
FUNCTIONAL_OUTPUTS/blink_counter_cry[20]:S,17218
FUNCTIONAL_OUTPUTS/blink_counter_cry[20]:Y3,
FUNCTIONAL_OUTPUTS/blink_counter_cry[20]:Y3A,
FUNCTIONAL_OUTPUTS/counter_cry[15]:B,17026
FUNCTIONAL_OUTPUTS/counter_cry[15]:C,17278
FUNCTIONAL_OUTPUTS/counter_cry[15]:CC,16955
FUNCTIONAL_OUTPUTS/counter_cry[15]:P,17026
FUNCTIONAL_OUTPUTS/counter_cry[15]:S,16955
FUNCTIONAL_OUTPUTS/counter_cry[15]:Y3,
FUNCTIONAL_OUTPUTS/counter_cry[15]:Y3A,
LED_PATTERN_obuf[2]/U_IOTRI:D,2049
LED_PATTERN_obuf[2]/U_IOTRI:DOUT,2049
LED_PATTERN_obuf[2]/U_IOTRI:EOUT,
FUNCTIONAL_OUTPUTS/counter_cry[20]:B,17146
FUNCTIONAL_OUTPUTS/counter_cry[20]:C,17398
FUNCTIONAL_OUTPUTS/counter_cry[20]:CC,16957
FUNCTIONAL_OUTPUTS/counter_cry[20]:P,17146
FUNCTIONAL_OUTPUTS/counter_cry[20]:S,16957
FUNCTIONAL_OUTPUTS/counter_cry[20]:Y3,
FUNCTIONAL_OUTPUTS/counter_cry[20]:Y3A,
FUNCTIONAL_OUTPUTS/blink_counter[13]:ALn,
FUNCTIONAL_OUTPUTS/blink_counter[13]:CLK,17294
FUNCTIONAL_OUTPUTS/blink_counter[13]:D,17305
FUNCTIONAL_OUTPUTS/blink_counter[13]:EN,18165
FUNCTIONAL_OUTPUTS/blink_counter[13]:Q,17294
FUNCTIONAL_OUTPUTS/led_pattern[0]:ALn,
FUNCTIONAL_OUTPUTS/led_pattern[0]:CLK,2049
FUNCTIONAL_OUTPUTS/led_pattern[0]:D,17630
FUNCTIONAL_OUTPUTS/led_pattern[0]:Q,2049
LED_PATTERN_obuf[4]/U_IOTRI:D,2049
LED_PATTERN_obuf[4]/U_IOTRI:DOUT,2049
LED_PATTERN_obuf[4]/U_IOTRI:EOUT,
FUNCTIONAL_OUTPUTS/counter_cry[16]:B,17102
FUNCTIONAL_OUTPUTS/counter_cry[16]:C,17354
FUNCTIONAL_OUTPUTS/counter_cry[16]:CC,16926
FUNCTIONAL_OUTPUTS/counter_cry[16]:P,17102
FUNCTIONAL_OUTPUTS/counter_cry[16]:S,16926
FUNCTIONAL_OUTPUTS/counter_cry[16]:Y3,
FUNCTIONAL_OUTPUTS/counter_cry[16]:Y3A,
FAULT_LEDS_obuf[1]/U_IOTRI:DOUT,
FAULT_LEDS_obuf[1]/U_IOTRI:EOUT,
FUNCTIONAL_OUTPUTS/counter_cry[9]:B,17005
FUNCTIONAL_OUTPUTS/counter_cry[9]:C,17257
FUNCTIONAL_OUTPUTS/counter_cry[9]:CC,17006
FUNCTIONAL_OUTPUTS/counter_cry[9]:P,17005
FUNCTIONAL_OUTPUTS/counter_cry[9]:S,17006
FUNCTIONAL_OUTPUTS/counter_cry[9]:Y3,
FUNCTIONAL_OUTPUTS/counter_cry[9]:Y3A,
I_1/U0:A,
I_1/U0:Y,
FUNCTIONAL_OUTPUTS/led_pattern[6]:ALn,
FUNCTIONAL_OUTPUTS/led_pattern[6]:CLK,2049
FUNCTIONAL_OUTPUTS/led_pattern[6]:D,17630
FUNCTIONAL_OUTPUTS/led_pattern[6]:Q,2049
FUNCTIONAL_OUTPUTS/pattern_select[3]:ALn,
FUNCTIONAL_OUTPUTS/pattern_select[3]:CLK,16798
FUNCTIONAL_OUTPUTS/pattern_select[3]:D,18600
FUNCTIONAL_OUTPUTS/pattern_select[3]:EN,16665
FUNCTIONAL_OUTPUTS/pattern_select[3]:Q,16798
FUNCTIONAL_OUTPUTS/blink_counter_cry[7]:B,17275
FUNCTIONAL_OUTPUTS/blink_counter_cry[7]:CC,17355
FUNCTIONAL_OUTPUTS/blink_counter_cry[7]:P,17275
FUNCTIONAL_OUTPUTS/blink_counter_cry[7]:S,17355
FUNCTIONAL_OUTPUTS/blink_counter_cry[7]:Y3,
FUNCTIONAL_OUTPUTS/blink_counter_cry[7]:Y3A,
